Album Name,Album Link
"Soundstage | Baltimore, Maryland | 2.17.24",https://papadosio.bandcamp.com/album/soundstage-baltimore-maryland-21724
"XL Live | Harrisburg, PA | 2.16.24",https://papadosio.bandcamp.com/album/xl-live-harrisburg-pa-21624
"Town Ballroom | Buffalo, NY | 2.15.24",https://papadosio.bandcamp.com/album/town-ballroom-buffalo-ny-21524
"Winter Werkout | The Bluestone | Columbus, OH | 2.10.24",https://papadosio.bandcamp.com/album/winter-werkout-the-bluestone-columbus-oh-21024
"Winter Werkout | The Bluestone | Columbus, OH | 2.9.24",https://papadosio.bandcamp.com/album/winter-werkout-the-bluestone-columbus-oh-2924
"The Midway | San Fransisco, CA | 1.27.24",https://papadosio.bandcamp.com/album/the-midway-san-fransisco-ca-12724
"Harrah's Lake Tahoe | Lake Tahoe, NV | 1.26.24",https://papadosio.bandcamp.com/album/harrahs-lake-tahoe-lake-tahoe-nv-12624
"Arcata Theatre Lounge | Arcata, CA | 1.25.24",https://papadosio.bandcamp.com/album/arcata-theatre-lounge-arcata-ca-12524
"Ashland Armory | Ashland, OR | 1.24.24",https://papadosio.bandcamp.com/album/ashland-armory-ashland-or-12424
"Star Theatre | Portland, OR | 1.23.24",https://papadosio.bandcamp.com/album/star-theatre-portland-or-12324
"Volcanic Theatre Pub | Bend, OR | 1.21.24",https://papadosio.bandcamp.com/album/volcanic-theatre-pub-bend-or-12124
"Mcdonald Theatre | Eugene, OR | 1.20.24",https://papadosio.bandcamp.com/album/mcdonald-theatre-eugene-or-12024
"The Crocodile | Seattle, WA | 1.19.24",https://papadosio.bandcamp.com/album/the-crocodile-seattle-wa-11924
"Jannus Live | St. Petersburg, FL | 12.31.23",https://papadosio.bandcamp.com/album/jannus-live-st-petersburg-fl-123123
"The Underbelly | Jacksonville, FL | 12.29.23",https://papadosio.bandcamp.com/album/the-underbelly-jacksonville-fl-122923
"Culture Room | Ft. Lauderdale, FL | 12.30.23",https://papadosio.bandcamp.com/album/culture-room-ft-lauderdale-fl-123023
"Dream Out Loud | The Mission Ballroom | Denver, CO | 12.15.23",https://papadosio.bandcamp.com/album/dream-out-loud-the-mission-ballroom-denver-co-121523
"Barrelhouse Ballroom | Chattanooga, TN | 12/1/23",https://papadosio.bandcamp.com/album/barrelhouse-ballroom-chattanooga-tn-12-1-23
"Taft Theatre | Cincinnati, OH | 11.25.23",https://papadosio.bandcamp.com/album/taft-theatre-cincinnati-oh-112523
"Kenny's West Side Pub | Peoria, IL | 11.12.23",https://papadosio.bandcamp.com/album/kennys-west-side-pub-peoria-il-111223
"Park West | Chicago, IL | 11.11.23",https://papadosio.bandcamp.com/album/park-west-chicago-il-111123
"Elevation | Grand Rapids, MI | 11.10.23",https://papadosio.bandcamp.com/album/elevation-grand-rapids-mi-111023
"The Magic Stick | Detroit, MI | 11.9.23",https://papadosio.bandcamp.com/album/the-magic-stick-detroit-mi-11923
"George's Majestic | Fayetteville, AR | 10.28.23",https://papadosio.bandcamp.com/album/georges-majestic-fayetteville-ar-102823
"George's Majestic | Fayetteville, AR | 10.27.23",https://papadosio.bandcamp.com/album/georges-majestic-fayetteville-ar-102723
